	right_pupil_validity	right_gaze_point_on_display_area	left_gaze_origin_validity	system_time_stamp	right_gaze_origin_in_user_coordinate_system	left_gaze_point_in_user_coordinate_system	left_gaze_origin_in_user_coordinate_system	left_pupil_validity	right_pupil_diameter	left_gaze_origin_in_trackbox_coordinate_system	right_gaze_point_in_user_coordinate_system	left_pupil_diameter	right_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_validity	left_gaze_point_on_display_area	right_gaze_origin_in_trackbox_coordinate_system	device_time_stamp
3386	1	(0.407698392868042, 0.45308101177215576)	1	1565623388380000.0	(26.54706573486328, 42.53923034667969, 755.220703125)	(-50.588897705078125, 185.8516845703125, 59.598602294921875)	(-36.471065521240234, 50.102264404296875, 755.3572998046875)	1.0	3.80477905273	(0.5629841089248657, 0.3782399594783783, 0.7157902717590332)	(-55.10405349731445, 189.44906616210938, 60.907958984375)	3.23583984375	1.0	1.0	1.0	(0.41526156663894653, 0.46448105573654175)	(0.4439353942871094, 0.39800670742988586, 0.7137669920921326)	1985349459.0
3387	1	(0.4095843434333801, 0.4529302716255188)	1	1565623388390000.0	(26.28072166442871, 42.741111755371094, 755.4338989257812)	(-52.48059844970703, 186.93109130859375, 59.99148178100586)	(-36.75531005859375, 50.05997085571289, 755.546142578125)	1.0	3.79930114746	(0.5635040998458862, 0.37837478518486023, 0.7161886096000671)	(-53.9781379699707, 189.49659729003906, 60.925296783447266)	3.22761535645	1.0	1.0	1.0	(0.4120928943157196, 0.461060494184494)	(0.4444516599178314, 0.3975249230861664, 0.7141966819763184)	1985360562.0
3388	1	(0.41078242659568787, 0.45431017875671387)	1	1565623388400000.0	(26.161853790283203, 42.83488845825195, 755.492431640625)	(-52.93320083618164, 188.86599731445312, 60.695735931396484)	(-36.89212417602539, 50.03016662597656, 755.599853515625)	1.0	3.81439208984	(0.5637577772140503, 0.3784572184085846, 0.7163049578666687)	(-53.26288986206055, 189.06118774414062, 60.766807556152344)	3.21029663086	1.0	1.0	1.0	(0.41133469343185425, 0.45492878556251526)	(0.44467952847480774, 0.3972955048084259, 0.7143157720565796)	1985371665.0
3389	1	(0.40016648173332214, 0.4492496848106384)	1	1565623388410000.0	(25.98098373413086, 42.96895217895508, 755.8341064453125)	(-61.65386962890625, 191.29766845703125, 61.58079528808594)	(-37.04350662231445, 50.027862548828125, 755.869384765625)	1.0	3.83473205566	(0.5640187859535217, 0.3785063326358795, 0.7168567180633545)	(-59.60063552856445, 190.65809631347656, 61.3480224609375)	3.21835327148	1.0	1.0	1.0	(0.39672723412513733, 0.4472229480743408)	(0.44504284858703613, 0.3970043361186981, 0.7150003910064697)	1985382768.0
3390	1	(0.3676223158836365, 0.42686790227890015)	1	1565623388420000.0	(25.594669342041016, 43.18377685546875, 755.6506958007812)	(-77.59161376953125, 198.5863494873047, 64.23365020751953)	(-37.3552131652832, 49.955116271972656, 755.6444091796875)	1.0	3.81558227539	(0.564628541469574, 0.37864822149276733, 0.7164292931556702)	(-79.02948760986328, 197.72091674804688, 63.91865158081055)	3.23162841797	1.0	1.0	1.0	(0.37003087997436523, 0.4241253733634949)	(0.44575944542884827, 0.3964323103427887, 0.7146324515342712)	1985393871.0
3391	1	(0.3555634319782257, 0.4214247167110443)	1	1565623388430000.0	(25.445148468017578, 43.25656509399414, 755.4999389648438)	(-86.50846862792969, 200.6632843017578, 64.98957824707031)	(-37.47954177856445, 49.888668060302734, 755.458984375)	1.0	3.81192016602	(0.5648811459541321, 0.37878310680389404, 0.7160630822181702)	(-86.2286376953125, 199.43856811523438, 64.54383087158203)	3.21441650391	1.0	1.0	1.0	(0.35509470105171204, 0.41754359006881714)	(0.4460318386554718, 0.3962254822254181, 0.7143298387527466)	1985404975.0
3392	1	(0.35233139991760254, 0.4108961522579193)	1	1565623388440000.0	(25.322113037109375, 43.26508331298828, 754.9618530273438)	(-86.77855682373047, 200.4397430419922, 64.90819549560547)	(-37.53963851928711, 49.7725715637207, 754.9949340820312)	1.0	3.7861785888699995	(0.5650391578674316, 0.3789973855018616, 0.7151288986206055)	(-88.15816497802734, 202.76095581054688, 65.75308990478516)	3.20556640625	1.0	1.0	1.0	(0.3546423017978668, 0.41825205087661743)	(0.44623005390167236, 0.39612507820129395, 0.7132487893104553)	1985416078.0
3393	1	(0.3549637198448181, 0.422016978263855)	1	1565623388460000.0	(25.169113159179688, 43.31312561035156, 755.1480102539062)	(-84.79821014404297, 197.2582550048828, 63.750244140625)	(-37.73224639892578, 49.54629135131836, 755.1594848632812)	1.0	3.81105041504	(0.5653899312019348, 0.3795924782752991, 0.715446412563324)	(-86.58668518066406, 199.2516632080078, 64.47581481933594)	3.2032470703099998	1.0	1.0	1.0	(0.35795944929122925, 0.4283340573310852)	(0.4465310871601105, 0.39602896571159363, 0.7136154770851135)	1985427181.0
3394	1	(0.35320407152175903, 0.41627439856529236)	1	1565623388470000.0	(25.11652374267578, 43.32579040527344, 755.4652709960938)	(-85.54178619384766, 199.14559936523438, 64.43717193603516)	(-37.831336975097656, 49.439247131347656, 755.5010986328125)	1.0	3.80949401855	(0.5655461549758911, 0.3799174129962921, 0.7161231637001038)	(-87.63720703125, 201.06378173828125, 65.13536834716797)	3.20858764648	1.0	1.0	1.0	(0.3567139208316803, 0.42235302925109863)	(0.4466506242752075, 0.396042138338089, 0.7142465710639954)	1985438284.0
3395	1	(0.352599561214447, 0.41500046849250793)	1	1565623388480000.0	(25.071073532104492, 43.352909088134766, 756.0911254882812)	(-83.28694915771484, 200.2308807373047, 64.83219146728516)	(-37.919803619384766, 49.3625373840332, 756.02783203125)	1.0	3.82022094727	(0.5656644701957703, 0.38019633293151855, 0.7171720266342163)	(-87.99810791015625, 201.4658203125, 65.28169250488281)	3.1957550048799996	1.0	1.0	1.0	(0.36049091815948486, 0.4189138412475586)	(0.4467759430408478, 0.3960634768009186, 0.7154958248138428)	1985449387.0
3396	1	(0.3516170084476471, 0.40805521607398987)	1	1565623388490000.0	(25.011743545532227, 43.35811233520508, 757.0420532226562)	(-85.7345199584961, 201.01475524902344, 65.11748504638672)	(-38.07831573486328, 49.144676208496094, 756.9635009765625)	1.0	3.8243408203099998	(0.5658776760101318, 0.3808959126472473, 0.7190245389938354)	(-88.58467864990234, 203.657470703125, 66.07938385009766)	3.19950866699	1.0	1.0	1.0	(0.3563911020755768, 0.4164297878742218)	(0.44694796204566956, 0.3961864411830902, 0.7173901200294495)	1985460490.0
